Date	Open	High	Low	Close	Adj Close	Volume
2020-03-06	0.610000	0.610000	0.520000	0.560000	0.560000	133900
2020-03-09	0.540000	0.540000	0.500000	0.530000	0.530000	168400
2020-03-10	0.530000	0.550000	0.490000	0.530000	0.530000	91700
2020-03-11	0.530000	0.560000	0.530000	0.550000	0.550000	74300
2020-03-12	0.500000	0.500000	0.410000	0.450000	0.450000	239700
2020-03-13	0.410000	0.440000	0.350000	0.430000	0.430000	434300
2020-03-16	0.400000	0.420000	0.340000	0.340000	0.340000	191500
2020-03-17	0.420000	0.420000	0.330000	0.380000	0.380000	94100
2020-03-18	0.380000	0.390000	0.350000	0.360000	0.360000	130000
2020-03-19	0.370000	0.410000	0.340000	0.390000	0.390000	99400
2020-03-20	0.370000	0.430000	0.370000	0.430000	0.430000	96400
2020-03-23	0.430000	0.430000	0.380000	0.420000	0.420000	201200
2020-03-24	0.430000	0.490000	0.410000	0.460000	0.460000	165000
2020-03-25	0.480000	0.600000	0.460000	0.600000	0.600000	61400
2020-03-26	0.580000	0.600000	0.500000	0.500000	0.500000	191900
2020-03-27	0.560000	0.560000	0.510000	0.540000	0.540000	112200
2020-03-30	0.530000	0.560000	0.520000	0.520000	0.520000	69800
2020-03-31	0.540000	0.580000	0.500000	0.550000	0.550000	84700
2020-04-01	0.580000	0.580000	0.550000	0.580000	0.580000	84000
2020-04-02	0.600000	0.600000	0.530000	0.590000	0.590000	101000
2020-04-03	0.590000	0.590000	0.460000	0.550000	0.550000	164800
2020-04-06	0.590000	0.590000	0.480000	0.530000	0.530000	81200
2020-04-07	0.510000	0.580000	0.510000	0.540000	0.540000	126500
2020-04-08	0.530000	0.540000	0.510000	0.520000	0.520000	86400
2020-04-09	0.540000	0.550000	0.510000	0.520000	0.520000	86300
2020-04-13	0.490000	0.520000	0.490000	0.510000	0.510000	78800
2020-04-14	0.510000	0.510000	0.470000	0.490000	0.490000	219400
2020-04-15	0.490000	0.500000	0.450000	0.490000	0.490000	215400
2020-04-16	0.500000	0.500000	0.470000	0.500000	0.500000	80100
2020-04-17	0.500000	0.510000	0.470000	0.480000	0.480000	107000
2020-04-20	0.490000	0.510000	0.460000	0.500000	0.500000	87400
2020-04-21	0.470000	0.500000	0.470000	0.480000	0.480000	83700
2020-04-22	0.500000	0.500000	0.480000	0.480000	0.480000	101100
2020-04-23	0.470000	0.500000	0.470000	0.490000	0.490000	125500
2020-04-24	0.500000	0.720000	0.490000	0.680000	0.680000	834900
2020-04-27	0.700000	0.840000	0.700000	0.790000	0.790000	530800
2020-04-28	0.820000	0.840000	0.750000	0.780000	0.780000	268600
2020-04-29	0.780000	0.800000	0.700000	0.740000	0.740000	313100
2020-04-30	0.740000	0.760000	0.720000	0.720000	0.720000	224300
2020-05-01	0.720000	0.770000	0.720000	0.750000	0.750000	151100
2020-05-04	0.700000	0.750000	0.700000	0.710000	0.710000	253100
2020-05-05	0.690000	0.760000	0.690000	0.730000	0.730000	96800
2020-05-06	0.720000	0.750000	0.700000	0.740000	0.740000	65600
2020-05-07	0.730000	0.750000	0.700000	0.720000	0.720000	111000
2020-05-08	0.730000	0.780000	0.710000	0.740000	0.740000	114100
2020-05-11	0.740000	0.790000	0.730000	0.780000	0.780000	143700
2020-05-12	0.790000	0.820000	0.740000	0.790000	0.790000	211700
2020-05-13	0.790000	0.810000	0.740000	0.770000	0.770000	165100
2020-05-14	0.750000	0.780000	0.720000	0.770000	0.770000	141100
2020-05-15	0.730000	0.800000	0.730000	0.790000	0.790000	101100
2020-05-18	0.790000	0.800000	0.750000	0.750000	0.750000	192600
2020-05-19	0.750000	0.780000	0.750000	0.780000	0.780000	119300
2020-05-20	0.780000	0.900000	0.780000	0.900000	0.900000	637900
2020-05-21	0.880000	0.930000	0.850000	0.900000	0.900000	426400
2020-05-22	0.900000	0.930000	0.880000	0.920000	0.920000	282300
2020-05-26	0.950000	0.960000	0.910000	0.940000	0.940000	513100
2020-05-27	0.950000	0.950000	0.700000	0.840000	0.840000	785800
2020-05-28	0.850000	0.910000	0.850000	0.870000	0.870000	372200
2020-05-29	0.870000	0.960000	0.870000	0.960000	0.960000	231400
2020-06-01	0.950000	1.200000	0.930000	1.190000	1.190000	605900
2020-06-02	1.050000	1.250000	0.990000	1.080000	1.080000	668600
2020-06-03	1.080000	1.150000	1.020000	1.150000	1.150000	388800
2020-06-04	1.150000	1.160000	1.010000	1.100000	1.100000	408400
2020-06-05	1.100000	1.100000	0.900000	0.960000	0.960000	410100
2020-06-08	0.870000	0.950000	0.850000	0.880000	0.880000	300700
2020-06-09	0.850000	0.910000	0.850000	0.900000	0.900000	158000
2020-06-10	0.900000	0.900000	0.860000	0.860000	0.860000	125300
2020-06-11	0.860000	0.890000	0.760000	0.790000	0.790000	406400
2020-06-12	0.800000	0.830000	0.780000	0.810000	0.810000	98100
2020-06-15	0.830000	0.830000	0.790000	0.830000	0.830000	177600
2020-06-16	0.840000	0.870000	0.750000	0.870000	0.870000	169400
2020-06-17	0.840000	0.890000	0.840000	0.850000	0.850000	72700
2020-06-18	0.810000	0.890000	0.800000	0.890000	0.890000	71700
2020-06-19	0.870000	0.920000	0.850000	0.890000	0.890000	86700
