date	open	high	low	close	volume	split	dividend	absoluteChange	percentChange
3/11/11	21.67528312	22.0506127	21.63263289	21.905599	49905800				
3/14/11	21.7435238	21.97383967	21.62410076	21.914129	54473400				
3/15/11	21.39378512	21.72646274	21.32554338	21.658221	76067300				
3/16/11	21.51320765	21.56439066	21.05257675	21.14641	100725400				
3/17/11	21.37672337	21.51320685	21.1122875	21.137879	62497000				
3/18/11	21.37672466	21.47908812	21.154939	21.154939	85486700				
3/21/11	21.47908774	21.82029644	21.45349708	21.607041	46878100				
3/22/11	21.581449	21.71793248	21.52173833	21.581449	30895600				
3/23/11	21.52173841	21.84588752	21.47908732	21.786176	43969000				
3/24/11	21.83735728	22.06767401	21.7520551	22.016491	38696700				
3/25/11	22.11885389	22.13591518	21.82882649	21.854418	57029800				
3/28/11	21.88853743	21.93971788	21.6496905	21.675282	48973200				
3/29/11	21.61557074	21.76911465	21.58144902	21.743524	40763500				
3/30/11	21.83735593	21.93971768	21.75205376	21.845887	41999300				
3/31/11	21.83735642	21.90559816	21.61557077	21.658221	63233700				
4/1/11	21.77764594	21.77764594	21.58997945	21.734994	63114200				
4/4/11	21.70940453	21.88853825	21.67528281	21.794705	35433700				
4/5/11	22.02502102	22.33210884	21.95677928	21.990901	73651100				
4/6/11	22.16150431	22.44300062	22.05914255	22.306518	65581400				
4/7/11	22.34063978	22.40035045	22.1529733	22.34917	46134700				
4/8/11	22.32357917	22.41741242	22.14444375	22.238277	39887600				
4/11/11	22.34063941	22.39181986	22.00795924	22.161504	34286300				
4/12/11	22.03355199	22.05061242	21.79470504	21.871477	36920400				
4/13/11	21.88000829	22.06767393	21.80323548	21.862947	38144700				
4/14/11	21.683813	21.70087429	21.40231582	21.683813	55239900				
4/15/11	21.71793225	21.80323442	21.47908702	21.641162	65080400				
4/18/11	21.41084543	21.5643902	21.08669632	21.393785	58045100				
4/19/11	21.32554274	21.47055643	21.21465077	21.453496	38892400				
4/20/11	21.78617607	22.17856522	21.76058457	21.97384	61608600				
4/21/11	21.99943172	22.08473219	21.63263237	21.769115	46892300				
4/25/11	21.80323421	21.85441722	21.61557028	21.845887	33525100				
4/26/11	21.95677937	22.55389543	21.89706785	22.34064	69200000				
4/27/11	22.43447126	22.51124322	22.28945756	22.502713	52689000				
4/28/11	22.57095456	22.92069519	22.51977411	22.78421	80200000				
4/29/11	22.64772686	22.72449881	21.63263267	22.110324	319317900				
5/2/11	22.12738494	22.17856539	21.73499409	21.888538	89825600				
5/3/11	21.83735728	22.05061272	21.74352489	22.016491	71892900				
5/4/11	22.05061229	22.39182099	21.99943183	22.229746	73292300				
5/5/11	22.22121494	22.24680645	21.90559776	21.999431	55600000				
5/6/11	22.23827649	22.3662289	21.96530954	22.067673	55993000				
5/9/11	22.00796049	22.14444398	21.89706852	22.033552	38696400				
5/10/11	21.64969084	22.05061191	21.53879887	21.897068	120798700				
5/11/11	21.88000745	21.88853767	21.50467703	21.632632	78600000				
5/12/11	21.62410065	21.65822067	21.41084522	21.59851	77400000				
5/13/11	21.56439043	21.59851045	21.28289326	21.351135	66812300				
5/16/11	21.29142162	21.38525487	20.89903248	20.958744	91350900				
5/17/11	20.95015843	21.20774321	20.83853874	21.053192	82882100		$0.16 		
5/18/11	21.06177792	21.24208579	20.82136542	21.199156	53931100				
5/19/11	21.33653355	21.36229108	21.03601899	21.224913	37783600				
5/20/11	21.22491314	21.35370681	20.98450321	21.027433	45451500				
5/23/11	20.78702066	20.82136604	20.63247203	20.752677	52692500				
5/24/11	20.77843551	20.85571068	20.64105743	20.735504	47691800				
5/25/11	20.75267588	20.87288084	20.74408975	20.769849	34904200				
5/26/11	20.90722684	21.49108454	20.88146845	21.181983	78016600				
5/27/11	21.19056896	21.37946382	21.16481057	21.259258	50251000				
5/31/11	21.43098049	21.51684179	21.20774282	21.473912	60196300				
6/1/11	21.45673929	21.55118672	20.92440008	20.975916	74033500				
6/2/11	21.02743338	21.16481147	20.76126334	20.795607	51487800				
6/3/11	20.64964196	20.72691713	20.46933409	20.529437	60697700				
6/6/11	20.51226458	20.82136613	20.40923187	20.615299	54778700				
6/7/11	20.68398825	20.75267729	20.52085177	20.658229	41112600				
6/8/11	20.52085062	20.62388418	20.48650696	20.555196	42205000				
6/9/11	20.61529851	20.64105776	20.45216204	20.572367	42878700				
6/10/11	20.6238849	20.6238849	20.34054346	20.357714	49327200				
6/13/11	20.42640474	20.76984995	20.34912957	20.641058	47572500				
6/14/11	20.86429604	20.99308972	20.76985033	20.795607	42894500				
6/15/11	20.60671238	20.61529851	20.32337009	20.383473	49410200				
6/16/11	20.39205875	20.6925733	20.30619745	20.606712	57184100				
6/17/11	20.79560662	20.86429566	20.58954035	20.829952	83320400				
6/20/11	20.75267695	21.17339733	20.74409082	21.01026	54338400				
6/21/11	21.05319088	21.34512016	20.95015732	21.259258	49708700				
6/22/11	21.12187935	21.30218722	21.11329322	21.16481	44287300				
6/23/11	20.98450324	21.16481112	20.77843612	21.147638	59470400				
6/24/11	21.0446056	21.07036485	20.76985028	20.864296	101387200				
6/27/11	20.80419351	21.86028667	20.80419351	21.637049	92044200				
6/28/11	21.72290849	22.25524942	21.60270353	22.152215	81032100				
6/29/11	22.07493945	22.07493945	21.77442662	21.997666	66051000				
6/30/11	22.10069862	22.323938	22.03200958	22.323938	52535400				
7/1/11	22.26383583	22.46990295	22.18656065	22.341111	52906200				
7/5/11	22.40979905	22.4527297	22.23807645	22.349697	37805300				
7/6/11	22.29817945	22.64162638	22.28959332	22.607281	48744200				
7/7/11	22.74465935	23.07951758	22.63304051	22.985071	51946500				
7/8/11	22.78758992	23.16537878	22.76183067	23.113862	58320700				
7/11/11	22.85627959	23.01082821	22.74465904	22.864864	43999800				
7/12/11	22.79617441	23.00224325	22.61586654	22.78759	47319300				
7/13/11	22.83910647	23.1482063	22.7618313	22.864864	40861800				
7/14/11	22.85627967	23.19113789	22.63304028	22.727486	46382300				
7/15/11	22.72748525	23.12244809	22.72748525	22.993657	49132400				
7/18/11	22.86486366	23.09669003	22.54717771	22.83052	44501900				
7/19/11	23.01941379	23.73206258	22.99365712	23.646203	86730600				
7/20/11	23.42296459	23.48306664	23.16537982	23.234068	49795400				
7/21/11	23.21689708	23.44872088	22.88203714	23.268413	81737400				
7/22/11	23.06234628	23.65478754	22.90779508	23.637617	76380600				
7/25/11	23.40579055	24.11843934	23.34568849	23.963889	108482400				
7/26/11	23.88661362	24.16995591	23.85226996	24.109853	74636500				
7/27/11	23.93813031	24.0325786	23.35427517	23.465894	71488700				
7/28/11	23.43155012	24.10126741	23.36285936	23.800752	83761400				
7/29/11	23.62902956	23.79216517	23.40579018	23.525996	104394800				
8/1/11	23.62044412	23.77499533	22.96789823	23.414377	61838400				
8/2/11	23.1653792	23.56892818	22.97648434	23.010828	63883100				
8/3/11	23.03658683	23.18255104	22.73607228	23.113862	64581200				
8/4/11	22.77900367	23.07093209	22.26383501	22.272422	92949500				
8/5/11	22.29817891	22.40979946	21.66280615	22.049182	112071700				
8/8/11	21.48249701	21.98049255	20.94156997	21.018846	134257200				
8/9/11	21.21632682	21.99766638	20.63247168	21.963321	126268900				
8/10/11	21.42239577	21.54260073	20.69257384	20.778436	127819900				
8/11/11	21.03601818	21.79159675	20.95015688	21.628462	90690100				
8/12/11	21.57694453	21.75725413	21.16481114	21.551187	64787100				
8/15/11	21.67139249	21.96332091	21.59411731	21.903218	56529400				
8/16/11	21.79089294	22.11058574	21.64400746	21.903218	54251500		$0.16 		
8/17/11	21.816815	22.20563039	21.54032467	21.816815	50923700				
8/18/11	21.22927277	21.67856955	20.76269621	21.315676	105714200				
8/19/11	21.09102748	21.27247512	20.65901135	20.779975	77397900				
8/22/11	21.09966718	21.16014944	20.55532774	20.719493	54721000				
8/23/11	20.76269646	21.38479883	20.76269646	21.358877	59670600				
8/24/11	21.29839494	21.54032397	21.09966752	21.514403	45329700				
8/25/11	21.66992946	21.73905204	21.16879074	21.229273	48192000				
8/26/11	21.17743111	21.8945779	21.09966821	21.816815	71957000				
8/29/11	22.05874486	22.34387551	21.92049969	22.326594	38863200				
8/30/11	22.23154987	22.83637245	22.20562977	22.663566	57341400				
8/31/11	22.71540985	23.07830169	22.68948802	22.983259	59300800				
9/1/11	22.86229307	23.20790771	22.646285	22.646285	60510800				
9/2/11	22.27475308	22.46483932	22.17106834	22.292032	43894400				
9/6/11	21.77361386	22.11058558	21.69585096	22.041463	54929300				
9/7/11	22.19698986	22.464839	22.09330512	22.464839	41961000				
9/8/11	22.46483877	23.03510006	22.42163802	22.654925	65811900				
9/9/11	22.46483838	22.62036419	22.03282226	22.24019	64529200				
9/12/11	21.9809822	22.40435716	21.83409585	22.369795	55046100				
9/13/11	22.39571626	22.62900584	22.30067185	22.499401	48792300				
9/14/11	22.61172435	23.15606382	22.36979445	22.896855	66739200				
9/15/11	23.09558261	23.35479315	22.73268819	23.320231	67808300				
9/16/11	23.37207201	23.56215998	23.18198578	23.432556	89681500				
9/19/11	23.15606377	23.59672023	22.98325818	23.510317	52324900				
9/20/11	23.59671978	23.76088677	23.26838839	23.31159	49211900				
9/21/11	23.37207131	23.38071164	22.43891649	22.456198	72750700				
9/22/11	21.86001575	22.16242791	21.25519402	21.652648	96278300				
9/23/11	21.5144037	21.73041177	21.33295779	21.652648	64768100				
9/26/11	21.76497294	22.05010272	21.36751725	21.980981	51057600				
9/27/11	22.17106768	22.39571606	21.98962177	22.179708	55620700				
9/28/11	22.40435629	22.78453134	22.04146274	22.101945	60736200				
9/29/11	22.44755824	22.61172437	21.67856952	21.989622	63407300				
9/30/11	21.77361474	22.03282356	21.49712268	21.505763	54060500				
10/3/11	21.3588764	21.89457726	21.18607081	21.194712	64592500				
10/4/11	20.99598356	21.93777875	20.96142314	21.894578	83485400				
10/5/11	21.96370069	22.60308458	21.7390523	22.369795	94061300				
10/6/11	22.3784358	22.81045194	22.20563021	22.75861	55111400				
10/7/11	22.7586099	22.90549539	22.63764625	22.680847	52741600				
10/10/11	22.96597752	23.30294924	22.87093311	23.27703	41815300				
10/11/11	23.20790735	23.38935326	23.0869411	23.328871	38826200				
10/12/11	23.48439696	23.59672029	23.24246793	23.294309	52489800				
10/13/11	23.12150345	23.50167851	23.00053979	23.484397	43823500				
10/14/11	23.59672043	23.76088742	23.34615193	23.56216	50947700				
10/17/11	23.42391506	23.69176419	23.19926581	23.31159	39453300				
10/18/11	23.27703078	23.67448477	23.15606453	23.596721	52487900				
10/19/11	23.64856448	23.73496598	23.33751199	23.441195	42880000				
10/20/11	23.55351923	23.62264181	22.81045149	23.363433	76300200				
10/21/11	23.45847568	23.49303783	23.15606352	23.467116	76620600				
10/24/11	23.38071208	23.67448391	23.36343316	23.493038	56897800				
10/25/11	23.39799458	23.52759943	23.08694209	23.164705	53554600				
10/26/11	23.35479306	23.3807123	22.55124219	22.974618	63029900				
10/27/11	23.44119427	23.67448384	23.02645965	23.544879	74512400				
10/28/11	23.4498343	23.49303764	23.14742474	23.31159	57712100				
10/31/11	23.12150406	23.32887181	23.00054041	23.009179	46799000				
11/1/11	22.62900531	22.74132864	22.34387467	22.456198	61182600				
11/2/11	22.55124291	22.637647	22.20563085	22.47348	53533100				
11/3/11	22.67220678	22.97461807	22.44755839	22.922777	65836100				
11/4/11	22.79317033	22.81045184	22.46483893	22.680847	36549200				
11/7/11	22.64628496	23.17334551	22.57716238	23.156064	42589700				
11/8/11	23.33751116	23.50167815	23.0610217	23.467116	47822500				
